product_author,product_imagelink,product_name,product_price
Colleen Hoover,"https://images-eu.ssl-images-amazon.com/images/I/81FummIc2eL._AC_UL300_SR300,200_.jpg",It Starts With Us,₹199.00
Ankur Warikoo,"https://images-eu.ssl-images-amazon.com/images/I/41l1SqjuqJL._AC_UL300_SR300,200_.jpg",GET EPIC SHIT DONE (20K Signed Copies Available!),₹359.00
James Clear,"https://images-eu.ssl-images-amazon.com/images/I/91bYsX41DVL._AC_UL300_SR300,200_.jpg",Atomic Habits: The life-changing million copy bestseller,₹414.00
Ashneer Grover,"https://images-eu.ssl-images-amazon.com/images/I/81BvqTpXlFL._AC_UL300_SR300,200_.jpg",Doglapan: The Hard Truth about Life and Start-Ups,₹422.00
Héctor García,"https://images-eu.ssl-images-amazon.com/images/I/81l3rZK4lnL._AC_UL300_SR300,200_.jpg",Ikigai: The Japanese secret to a long and happy life,₹257.00
Morgan Housel,"https://images-eu.ssl-images-amazon.com/images/I/71g2ednj0JL._AC_UL300_SR300,200_.jpg",The Psychology of Money,₹260.00
Colleen Hoover,"https://images-eu.ssl-images-amazon.com/images/I/81s0B6NYXML._AC_UL300_SR300,200_.jpg",It Ends With Us: A Novel: Volume 1,₹215.00
Joseph Murphy,"https://images-eu.ssl-images-amazon.com/images/I/71UwSHSZRnS._AC_UL300_SR300,200_.jpg",The Power of Your Subconscious Mind,₹89.00
Chandan Kumar Venna,"https://images-eu.ssl-images-amazon.com/images/I/81mfX7NErrL._AC_UL300_SR300,200_.jpg","Chandan sir's Arithmetic Class Notes, Bilingual (English/Telugu)",₹450.00
Amish Tripathi,"https://images-eu.ssl-images-amazon.com/images/I/91+T1TAxkKL._AC_UL300_SR300,200_.jpg",War of Lanka (Ram Chandra Series Book 4),₹280.00
Wonder House Books,"https://images-eu.ssl-images-amazon.com/images/I/711c-uf6AFL._AC_UL300_SR300,200_.jpg",My First Library: Boxset of 10 Board Books for Kids,₹399.00
Brijbhoomi Books And Handicrafts,"https://images-eu.ssl-images-amazon.com/images/I/310ILDQr5lL._AC_UL300_SR300,200_.jpg",Brijbhoomi Books And Handicrafts® Bhagavad Gita: Yatharoop,₹210.00
Gaur Gopal Das,"https://images-eu.ssl-images-amazon.com/images/I/81N7FmJhbhL._AC_UL300_SR300,200_.jpg","Life's Amazing Secrets: How to Find Balance and Purpose in Your Life | Inspirational Zen book on motivation, self-development & healthy living",₹160.00
Maple Press,"https://images-eu.ssl-images-amazon.com/images/I/71xWWxjzF7L._AC_UL300_SR300,200_.jpg","My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",₹179.00
Maple Press,"https://images-eu.ssl-images-amazon.com/images/I/7175YpTSa7L._AC_UL300_SR300,200_.jpg",Brain Activity Book for Kids - 200+ Activities for Age 3+,₹95.00
Mukul Agrawal,"https://images-eu.ssl-images-amazon.com/images/I/71CtcAltv+L._AC_UL300_SR300,200_.jpg",The Simplest Book For Technical Analysis | Stock Market | Mukul Agrawal,₹240.00
Maple Press,"https://images-eu.ssl-images-amazon.com/images/I/71jhniLQEMS._AC_UL300_SR300,200_.jpg","Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old",₹195.00
Oswaal Editorial Board,"https://images-eu.ssl-images-amazon.com/images/I/81jMX+93kaL._AC_UL300_SR300,200_.jpg","Oswaal CBSE English, Science, Social Science & Math Standard Class 10 Sample Question Paper (Set of 4 Books) for 2023 Board Exam (based on CBSE Sample Paper released on 16th September)",₹892.00
Educart,"https://images-eu.ssl-images-amazon.com/images/I/91A8YoZLbhL._AC_UL300_SR300,200_.jpg","Educart CBSE Class 10 Sample Papers 2022-23 Bundle - Science, SST, English and Mathematics Standard (4 books) 2023 Edubook",₹837.00
Sudha Murty,"https://images-eu.ssl-images-amazon.com/images/I/81jv44QdNwL._AC_UL300_SR300,200_.jpg","Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty",₹206.00
Jeff Kinney,"https://images-eu.ssl-images-amazon.com/images/I/819bxLMj91L._AC_UL300_SR300,200_.jpg",Diary of a Wimpy Kid: Diper Överlöde (Book 17),₹350.00
